Rank2013,Rank2012,School,State,School.Type,Student.Survey.Rank,Employer.Survey.Rank,MBA.Feeder.School.Rank,Academic.Quality.Rank,Index.Number,Annual.Tuition,Full.Time.Enrollment,Median.Starting.Salary,Student.Faculty.Ratio,Average.SAT.Score,Teaching.Quality.Grade,Facilities.and.Services.Grade,Job.Placement.Grade
107,113,Oregon (Lundquist),OR,Public,109,79,90,75,42.05,9310,1141,40000,15,1143,C,B,C
108,85,Akron,OH,Public,112,72,39,92,41.08,9553,1767,45000,23,1103,C,B,C
109,NR,Providence College,RI,Private,114,93,84,88,40.68,41350,273,47000,25,1152,C,B,C
110,114,Kansas - Lawrence,KS,Public,104,59,80,108,40.53,8790,1073,47250,27,1155,C,B,B
111,105,West Virginia,WV,Public,72,111,103,114,39.45,5794,1856,45000,22,1059,B,A,B
112,111,Buffalo,NY,Public,110,62,87,104,39.17,5570,1958,40000,20,1125,C,C,B
113,109,Florida International (Landon),FL,Public,79,95,123,114,37.76,5217,3762,41748,35,1052,B,B,B
114,112,Kansas State,KS,Public,98,53,94,119,37.69,6829,2603,43000,41.3,1105,C,A,B
115,116,Hofstra (Zarb),NY,Private,118,116,113,92,36.37,34900,1270,45500,22,1147,C,C,C
116,NR,Toledo,OH,Public,95,123,120,119,34.8,9774,2100,45000,35,1020,B,B,B
117,117,Utah (Eccles),UT,Public,113,121,55,114,33.19,8921,1439,45000,27.7,1120,C,B,C
118,120,Louisiana State (Ourso),LA,Public,120,91,97,108,32.72,5193,1481,43000,28,1152,C,B,C
119,NR,Rutgers - Newark,NJ,Public,119,105,121,119,31.63,10356,1999,50000,44,1060,C,C,B
120,121,Tennessee - Chattanooga,TN,Public,108,118,99,114,30.53,5722,1774,32500,39.4,1065,B,B,C
121,NR,South Florida,FL,Public,116,124,106,114,30.4,6330,1406,42000,49,1226,C,B,C
122,119,Kentucky (Gatton),KY,Public,122,96,95,123,26.5,9676,2475,38250,28.1,1090,C,B,C
123,NR,Vermont,VT,Public,124,108,76,104,26.18,13344,783,47321,29.4,1130,C,C,C
124,124,California - Riverside,CA,Public,123,112,88,123,20.35,12192,1055,41000,65,1070,C,C,C
