"","Var1","Freq","rank","web"
"14104","LMCinder",337,8,"http://twitter.com/LMCinder"
"14144","lolomar10",55,148,"http://twitter.com/lolomar10"
"14180","lordtiberius",250,12,"http://twitter.com/lordtiberius"
"14257","lrl_anon",124,50,"http://twitter.com/lrl_anon"
"14298","LUCKYMW",64,113,"http://twitter.com/LUCKYMW"
"14435","M100Globope",58,130,"http://twitter.com/M100Globope"
"14535","mahilena",170,26,"http://twitter.com/mahilena"
"14656","ManyPaths",56,140,"http://twitter.com/ManyPaths"
"14705","MareRocks",60,124,"http://twitter.com/MareRocks"
"14756","MarinaGipps",50,174,"http://twitter.com/MarinaGipps"
"14844","MarkVaritone",236,14,"http://twitter.com/MarkVaritone"
"14924","marymayer45",53,155,"http://twitter.com/marymayer45"
"15169","McBlondeLand",70,99,"http://twitter.com/McBlondeLand"
"15237","mean_uhh",312,9,"http://twitter.com/mean_uhh"
"15313","MehranMahbobi",49,181,"http://twitter.com/MehranMahbobi"
"15471","miaaculpa",98,69,"http://twitter.com/miaaculpa"
"15732","Min_Reyes",118,55,"http://twitter.com/Min_Reyes"
"15776","misosusanowa",81,86,"http://twitter.com/misosusanowa"
"15971","modernactivism",77,91,"http://twitter.com/modernactivism"
"16060","monkeyofdarknes",58,132,"http://twitter.com/monkeyofdarknes"
"16204","Mr2u_53",50,175,"http://twitter.com/Mr2u_53"
"16242","MrHolise",169,28,"http://twitter.com/MrHolise"
"16243","MrHortonscycles",202,18,"http://twitter.com/MrHortonscycles"
"16374","MsLaurenNelson",80,88,"http://twitter.com/MsLaurenNelson"
"16435","MulliganStew63",238,13,"http://twitter.com/MulliganStew63"
"16498","Mwforhr",55,146,"http://twitter.com/Mwforhr"
"16522","MyDixie_Wrecked",165,30,"http://twitter.com/MyDixie_Wrecked"
"16849","NevaCombs45",123,51,"http://twitter.com/NevaCombs45"
"17251","Nougatrocity",148,34,"http://twitter.com/Nougatrocity"
"17270","noyb100",309,10,"http://twitter.com/noyb100"
"17344","NYCPatriot1",131,46,"http://twitter.com/NYCPatriot1"
"17434","OccupationTV",45,196,"http://twitter.com/OccupationTV"
"17446","Occupy_Congress",147,35,"http://twitter.com/Occupy_Congress"
"17454","Occupy_TheBanks",100,66,"http://twitter.com/Occupy_TheBanks"
"17461","occupyadam",78,89,"http://twitter.com/occupyadam"
"17501","OccupyColleges",60,122,"http://twitter.com/OccupyColleges"
"17666","OccupyWaIlSt",60,125,"http://twitter.com/OccupyWaIlSt"
"17684","OCCYPYNC77",104,63,"http://twitter.com/OCCYPYNC77"
"17870","onevoice2",92,75,"http://twitter.com/onevoice2"
"17879","only_positivity",430,6,"http://twitter.com/only_positivity"
"18131","PandP_Bateman",148,33,"http://twitter.com/PandP_Bateman"
"18356","peacetraingang",52,165,"http://twitter.com/peacetraingang"
"18687","pjdelcampo2attn",61,119,"http://twitter.com/pjdelcampo2attn"
"18801","Politicolnews",54,151,"http://twitter.com/Politicolnews"
"18818","polymath22",83,84,"http://twitter.com/polymath22"
"18872","PowerInActivism",65,109,"http://twitter.com/PowerInActivism"
"19398","RansomOttawa",46,194,"http://twitter.com/RansomOttawa"
"19441","raulluvsnews",56,138,"http://twitter.com/raulluvsnews"
"19478","RaZorWriSt",77,90,"http://twitter.com/RaZorWriSt"
"19603","RedandBlueAmeri",56,139,"http://twitter.com/RedandBlueAmeri"
"19724","renesugar",122,53,"http://twitter.com/renesugar"
"20088","RobertPaulson22",47,188,"http://twitter.com/RobertPaulson22"
"20119","robmillernow",169,27,"http://twitter.com/robmillernow"
"20136","robteed",65,111,"http://twitter.com/robteed"
"20270","Rosa_Presnell",56,141,"http://twitter.com/Rosa_Presnell"
"20391","runforfun54",57,136,"http://twitter.com/runforfun54"
"20797","sasha2000",76,93,"http://twitter.com/sasha2000"
"20870","sceeyoo",104,64,"http://twitter.com/sceeyoo"
"20951","ScottsdaleSteve",59,128,"http://twitter.com/ScottsdaleSteve"
"21141","Serr8d",87,80,"http://twitter.com/Serr8d"
"21447","sickjew",141,38,"http://twitter.com/sickjew"
"21655","slagkill",58,131,"http://twitter.com/slagkill"
"21743","smithj413",127,48,"http://twitter.com/smithj413"
"21807","SocEconEquality",70,98,"http://twitter.com/SocEconEquality"
"22204","StateFarmSucks5",141,37,"http://twitter.com/StateFarmSucks5"
"22215","SteafanDubh",47,192,"http://twitter.com/SteafanDubh"
"22488","stzlyee",54,152,"http://twitter.com/stzlyee"
"22500","SubstanceNYC",134,43,"http://twitter.com/SubstanceNYC"
"22502","subversionistic",190,22,"http://twitter.com/subversionistic"
"22566","superguts",55,144,"http://twitter.com/superguts"
"22906","tauthomas",60,121,"http://twitter.com/tauthomas"
"22991","techgurus",54,149,"http://twitter.com/techgurus"
"23031","TempusLoquendi",47,184,"http://twitter.com/TempusLoquendi"
"23074","testeux1",107,61,"http://twitter.com/testeux1"
"23212","The99Pct",536,5,"http://twitter.com/The99Pct"
"23229","TheAndreaGail",66,107,"http://twitter.com/TheAndreaGail"
"23407","TheIndypendent",65,110,"http://twitter.com/TheIndypendent"
"23471","themanknownasx",154,32,"http://twitter.com/themanknownasx"
"23472","TheMarginalZone",140,40,"http://twitter.com/TheMarginalZone"
"23705","TheYouthRevolut",672,3,"http://twitter.com/TheYouthRevolut"
"23813","ticketclinicLA",47,187,"http://twitter.com/ticketclinicLA"
"23998","TobyBenjamin",62,115,"http://twitter.com/TobyBenjamin"
"24292","Trident3",44,200,"http://twitter.com/Trident3"
"24521","typingloudly",103,65,"http://twitter.com/typingloudly"
"24633","UnifiedLeft",55,147,"http://twitter.com/UnifiedLeft"
"24711","USAShopper",72,96,"http://twitter.com/USAShopper"
"24732","usuncutva",47,185,"http://twitter.com/usuncutva"
"24892","VeritasAKATruth",168,29,"http://twitter.com/VeritasAKATruth"
"24937","Vickie627",83,83,"http://twitter.com/Vickie627"
"24997","Vindictive29",98,70,"http://twitter.com/Vindictive29"
"25181","WallStreet4",203,17,"http://twitter.com/WallStreet4"
"25214","WarOnErrorDKos",293,11,"http://twitter.com/WarOnErrorDKos"
"25223","WarriorsofWebz",122,52,"http://twitter.com/WarriorsofWebz"
"25338","WeOccupyAmerica",52,163,"http://twitter.com/WeOccupyAmerica"
"25342","WeRMadAsHell",57,134,"http://twitter.com/WeRMadAsHell"
"25355","wespk",67,104,"http://twitter.com/wespk"
"25374","wggoodness",55,143,"http://twitter.com/wggoodness"
"25390","whatohnoo",51,169,"http://twitter.com/whatohnoo"
"25397","whatzaname",107,60,"http://twitter.com/whatzaname"
"25615","WmBerlin",404,7,"http://twitter.com/WmBerlin"
"25663","WORLD_KIDS",98,71,"http://twitter.com/WORLD_KIDS"
"26140","zalzalahbutt",575,4,"http://twitter.com/zalzalahbutt"
