city,urb1997,urbangroth,mining,manufactural,RD,eduction,openness
镇江市,33.9889228,0.276929272,0.223686882,13.66694006,0.186032667,1.272463445,0.05524475
杭州市,33.61898809,0.402641401,0.336070604,16.16811196,0.683253645,1.785608878,0.053548735
宁波市,23.15726313,0.411320577,0.049517478,18.62324696,0.200672429,1.244521115,0.067103603
温州市,16.90689631,0.231022747,0.062073193,10.65155813,0.088084043,1.040168914,0.009242657
湖州市,21.31508573,0.382217382,0.696187574,10.79260728,0.143133462,1.052224371,0.023127897
绍兴市,16.34494335,0.67260924,0.10546906,14.79976171,0.086944584,1.144007688,0.032026643
金华市,14.74881387,0.436628884,0.671845597,8.560793432,0.112698034,1.064129516,0.056712559
衢州市,15.09394485,0.324307938,0.355360902,6.086283215,0.068314246,0.855937312,0.007600475
舟山市,24.77175898,0.400797428,0.096653035,7.922475907,0.196341841,1.250387517,0.005171338
台州市,12.36240158,0.375897816,0.046457887,9.723331404,0.102776713,0.985959656,0.030283229
芜湖市,31.75508296,0.439348461,0.599755004,8.554601785,0.121322414,1.052905239,0.07531452
淮南市,44.74651362,0.04706858,7.12206088,4.179311717,0.099634673,1.083527067,0.010495959
马鞍山市,41.30210127,0.175532254,1.923806646,11.12736347,0.210772834,1.06167057,0.07651273
淮北市,37.26637413,0.147888952,5.976508368,3.801599646,0.046343498,0.991750857,0.017611687
铜陵市,49.63460104,0.169975538,2.514848392,12.00259591,0.189470835,1.082690486,0.018267182
安庆市,13.95552266,0.240184582,0.041842004,3.965607164,0.055384515,0.941536757,0.045036727
阜阳市,10.17764183,0.191969178,0.053143504,4.123903024,0.02227194,0.683343626,0.010444562
福州市,26.16334696,0.45750255,0.030309715,8.559433865,0.319207485,1.498545483,0.041150803
厦门市,45.72872383,0.400874447,0.018405705,24.31171538,0.333966718,1.773478436,0.214635687
莆田市,9.484607402,0.705653175,0.09226472,5.445710639,0.050530571,1.168519454,0.013081962
三明市,23.5224945,0.382124634,0.560376693,4.873119589,0.085137886,1.295576532,0.001563824
泉州市,13.10660945,0.785277958,0.774578794,12.27937014,0.032461305,1.229103035,0.108744285
漳州市,16.24578357,0.573963954,0.090641784,5.237385596,0.059765208,1.007470651,0.057378237
南平市,25.81683999,0.296263324,0.537154181,4.964450477,0.116833804,1.139129588,0.005579773
龙岩市,19.40012083,0.425681642,1.035612138,3.315892574,0.113285273,1.256436663,0.0158587
景德镇市,34.91136898,0.125712032,0.766995828,8.938293987,0.20223725,1.175504013,0.014493897
萍乡市,30.03797838,0.033628778,3.141334932,6.192765578,0.053830005,1.092749098,0.011882224
九江市,20.19694304,0.307271406,0.277290999,4.687096683,0.13411187,0.963542204,0.069543855
新余市,30.2690149,0.097244678,1.852974295,8.411611431,0.081168831,1.185064935,0.112590103
鹰潭市,26.83759017,0.083948631,0.383929348,2.757240593,0.189475497,0.82680217,0.007819315
郑州市,33.1374617,0.235461509,1.979052053,6.404642632,0.46552994,1.566126096,0.130248467
洛阳市,23.58077164,0.149680682,2.40058161,4.429022774,0.324836125,1.006554989,0.054017582
平顶山市,22.49470114,0.095737327,3.087613963,3.446277118,0.068710158,1.007748979,0.007737995
安阳市,17.2517039,0.24376104,0.458089946,4.582087333,0.058163103,0.990535277,0.019056679
鹤壁市,28.33408851,0.1272651,3.331481738,7.370737747,0.076074553,1.039685559,0.007141179
新乡市,19.74574494,0.340935276,0.088758566,4.531932099,0.127211357,1.099106128,0.014207701
濮阳市,16.21723937,0.143435018,2.056766923,2.431072671,0.063093075,0.943872401,0.00070736
许昌市,14.92783601,0.528118372,0.390681182,5.007645134,0.06890072,1.000104395,0.013664255
漯河市,20.89238845,0.138534543,0.025686907,6.833567598,0.040312237,1.026129659,0.023518238
三门峡市,25.89126141,0.137626972,2.869855299,3.840729589,0.096622601,1.242918003,0.009170239
南阳市,12.99764905,0.182965031,1.103220209,4.683199177,0.110664773,1.042165893,0.00800742
商丘市,9.749781011,0.639473498,0.274045286,2.984269577,0.033292273,1.056474792,0.005324474
武汉市,58.37961044,0.099326699,0.013179611,11.15204913,0.670875138,1.909413854,0.296375403
黄石市,34.97920356,0.040019621,1.796040623,8.915182278,0.139909059,1.064863394,0.040486209
十堰市,25.04316273,0.147885843,0.665991723,6.23072528,0.105404097,1.142352505,0.003150176
宜昌市,28.09067481,0.171793609,0.322534571,5.481807718,0.17713245,0.870693311,0.010239145
襄樊市,26.49418265,0.229204816,0.122807873,5.086194441,0.179677607,1.139669393,0.040219608
鄂州市,28.72644767,0.289534926,1.86158808,8.227185518,0.102976971,1.198277476,0.011500454
荆门市,26.25952113,0.014894106,0.654045857,5.753577527,0.116623905,1.036286695,0.012871664
孝感市,15.95695776,0.597680605,0.562438184,4.050651904,0.079990858,0.997981183,0.014259625
荆州市,24.74817177,0.003450506,0.249405175,2.719145334,0.05770691,0.795747912,0.012468957
黄冈市,17.28673484,0.274719282,0.059026256,3.283534907,0.044889409,0.914111598,0.023852574
长沙市,29.89631236,0.195210044,0.197115927,7.560319392,0.477415755,1.567101714,0.126916319
株洲市,23.96554082,0.109398128,0.329122117,7.298613225,0.078320802,0.947681704,0.029371472
湘潭市,25.85270476,0.082007498,0.385018709,6.351243999,0.068029525,0.996632539,0.018331025
衡阳市,19.02458046,0.805429823,0.534078988,4.344576319,0.07112181,1.001176245,0.039108049
邵阳市,12.79112286,0.151724667,0.500680401,3.287548481,0.042435253,0.816878622,0.004324015
岳阳市,18.55785245,0.885650605,0.366298156,4.800301134,0.063462131,0.915667894,0.008064272
常德市,18.72345446,0.219729074,0.184896153,3.773873505,0.043962485,0.853197864,0.073877357
张家界市,14.89887494,0.192092927,0.308743251,1.729110558,0.054691298,0.893291201,0.00289234
益阳市,16.96242755,0.177564193,0.099133866,3.748288184,0.03421289,0.972929051,0.006985774
郴州市,18.07941362,0.825970333,1.407443963,2.134793087,0.078556263,0.976645435,0.042187866
永州市,13.64371807,0.162476041,0.342272602,2.953800715,0.068946498,0.948014341,0.03866595
怀化市,18.42977634,0.01422191,1.145399737,2.565914739,0.062875781,0.945101584,0.004955462
广州市,61.64683641,0.376180501,0.044636551,15.20730803,0.790675135,2.142474558,0.425413625
韶关市,35.07664563,0.096416177,0.952124997,4.526267224,0.105233836,1.139001517,0.001496056
汕头市,33.41886756,1.087007071,0.009236401,6.949311599,0.067118069,1.119292497,0.002869431
湛江市,23.73748645,0.443663058,0.320463329,2.736822144,0.053058842,1.122194514,0.009147297
